block_id,pop_total,f_below_1,m_below_1,f_1_to_4,m_1_to_5,f_5_to_11,m_5_to_11,f_12_to_17,m_12_to_17,f_18_to_59,m_18_to_59,f_60_plus,m_60_plus
CXB-214_A073,5948,98,78,422,422,679,651,409,413,1460,1116,91,109
CXB-214_B074,5227,78,87,329,369,564,623,339,378,1265,1009,86,100
CXB-214_C075,4942,76,71,338,377,553,539,305,334,1209,966,81,93
CXB-214_D076,4004,48,72,253,264,416,460,263,280,995,808,55,90
CXB-214_E077,5143,71,76,342,336,558,606,296,358,1288,1037,76,99
CXB-214_F078,4582,72,64,288,278,429,503,312,298,1169,990,81,98
CXB-217_A079,5638,80,81,332,321,671,662,368,440,1326,1152,80,125
CXB-217_B080,4557,64,63,307,253,528,555,304,323,1095,914,60,91
CXB-217_C081,6031,79,74,334,382,678,647,377,444,1503,1279,105,129
CXB-217_D082,4993,62,71,275,304,584,583,318,356,1219,1029,92,100
CXB-217_E083,4091,48,46,224,271,476,476,266,304,997,842,53,88
CXB-217_F084,4307,52,45,268,245,507,532,295,300,1047,840,81,95
CXB-218_A085,11966,133,126,724,793,1210,1347,871,930,2953,2405,224,250
CXB-218_B086,3082,45,42,231,194,323,363,201,218,720,606,69,70
CXB-218_C087,5439,69,71,358,377,583,597,389,386,1329,1082,96,102
CXB-218_D088,4328,44,60,316,323,473,474,282,302,1063,823,70,98
CXB-220_A089,9233,95,105,567,593,1046,1073,547,704,2290,1846,165,202
CXB-220_B090,6025,69,80,334,386,680,724,399,416,1481,1226,103,127
CXB-220_C091,6247,77,100,379,399,734,697,418,429,1555,1211,117,131
CXB-220_D092,5745,53,82,329,388,673,713,391,427,1351,1120,93,125
CXB-220_E093,4129,66,61,234,270,503,513,274,288,974,791,68,87
CXB-220_F094,5460,71,69,356,372,611,613,349,403,1284,1094,104,134
CXB-220_G095,4684,66,76,298,318,520,555,287,319,1161,943,62,79
CXB-222_A096,5288,69,56,365,370,581,590,341,368,1228,1057,116,147
CXB-222_B097,6334,81,72,450,457,680,725,436,442,1487,1226,122,156
CXB-222_C098,3760,50,54,242,274,365,439,273,273,900,731,83,76
CXB-222_D099,6254,90,95,417,431,675,720,409,456,1482,1202,123,154
CXB-222_E100,5416,69,66,391,407,613,638,363,418,1289,973,83,106
CXB-223_A101,4441,68,73,249,274,481,505,296,302,1089,912,95,97
CXB-223_B102,6429,88,93,379,418,736,758,431,421,1529,1292,133,151
CXB-223_C103,4832,74,70,291,300,545,599,290,351,1163,966,86,97
CXB-223_D104,7081,114,109,434,456,793,779,436,493,1748,1425,128,166
CXB-223_E105,5885,81,80,353,347,656,702,388,425,1432,1156,120,145
CXB-223_F106,6891,88,99,432,469,761,739,430,496,1669,1414,126,168
CXB-223_G107,6554,71,93,380,427,687,750,441,501,1598,1326,114,166
CXB-223_H108,7432,93,114,519,486,838,854,473,535,1828,1405,118,169
CXB-224_A109,6847,77,79,468,473,714,746,474,514,1635,1416,113,138
CXB-224_B110,3255,39,49,206,220,343,350,226,221,820,649,51,81
CXB-224_C111,4114,65,46,290,282,453,469,301,308,963,805,62,70
CXB-224_D112,3391,55,52,234,244,355,411,230,228,789,658,66,69
CXB-212_A113,6203,88,115,438,462,652,674,399,383,1528,1225,99,140
CXB-212_B114,5409,87,97,342,382,594,634,325,378,1359,1044,69,98
CXB-212_C115,4641,60,84,354,378,525,519,243,289,1145,902,64,78
CXB-215_A116,5642,87,104,427,419,614,624,345,362,1392,1096,73,99
CXB-215_B117,5312,81,110,386,411,568,548,337,330,1342,1033,69,97
CXB-215_C118,4978,76,82,351,341,522,559,318,336,1231,1007,57,98
CXB-215_D119,5513,81,85,383,436,606,591,342,370,1352,1080,82,105
CXB-215_E120,5504,79,81,393,437,617,629,319,334,1344,1082,75,114
CXB-219_A121,5756,75,96,352,394,653,709,361,409,1418,1106,83,100
CXB-219_B122,5764,95,83,354,366,602,681,380,425,1417,1167,91,103
CXB-219_C123,6176,75,87,350,362,754,747,432,477,1506,1167,96,123
CXB-219_D124,4764,53,73,224,306,486,519,329,336,1214,1013,99,112
CXB-201_A001,5537,74,79,330,329,660,632,323,403,1348,1118,105,136
CXB-201_B002,5902,79,80,352,378,653,663,388,371,1480,1232,97,129
CXB-201_C003,5408,67,86,273,332,589,629,321,435,1315,1134,103,124
CXB-201_D004,5377,66,73,307,342,596,609,374,363,1275,1161,90,121
CXB-201_E005,5298,80,76,309,311,572,586,337,376,1318,1129,87,117
CXB-201_F006,5402,77,68,293,352,584,601,346,356,1366,1145,92,122
CXB-201_G007,4377,56,72,263,268,521,529,252,295,1080,879,67,95
CXB-202_A008,5156,82,67,295,304,534,650,340,353,1288,1044,89,110
CXB-202_B009,5888,70,94,335,298,652,723,376,423,1480,1211,112,114
CXB-202_C010,6298,84,64,370,377,705,753,367,426,1575,1311,117,149
CXB-202_D011,4841,47,59,277,306,589,571,282,336,1223,965,76,110
CXB-202_E012,4311,54,47,262,261,539,499,301,261,1012,868,95,112
CXB-202_F013,5324,70,88,267,334,604,603,356,369,1303,1112,103,115
CXB-202_G014,6134,69,75,327,344,751,665,440,481,1488,1250,117,127
CXB-216_A125,3454,51,75,240,250,362,409,204,226,858,679,45,55
CXB-216_B126,3351,66,57,260,236,335,372,207,200,856,658,39,65
