camp_id,block_id,variable,count,about
CXB-214,CXB-214_A073,n_family,1250,population
CXB-214,CXB-214_A073,n_individuals,5948,population
CXB-214,CXB-214_A073,f_below_1,98,population
CXB-214,CXB-214_A073,m_below_1,78,population
CXB-214,CXB-214_A073,f_1_to_4,422,population
CXB-214,CXB-214_A073,m_1_to_5,422,population
CXB-214,CXB-214_A073,f_5_to_11,679,population
CXB-214,CXB-214_A073,m_5_to_11,651,population
CXB-214,CXB-214_A073,f_12_to_17,409,population
CXB-214,CXB-214_A073,m_12_to_17,413,population
CXB-214,CXB-214_A073,f_18_to_59,1460,population
CXB-214,CXB-214_A073,m_18_to_59,1116,population
CXB-214,CXB-214_A073,f_60_plus,91,population
CXB-214,CXB-214_A073,m_60_plus,109,population
CXB-214,CXB-214_B074,n_family,1088,population
CXB-214,CXB-214_B074,n_individuals,5227,population
CXB-214,CXB-214_B074,f_below_1,78,population
CXB-214,CXB-214_B074,m_below_1,87,population
CXB-214,CXB-214_B074,f_1_to_4,329,population
CXB-214,CXB-214_B074,m_1_to_5,369,population
CXB-214,CXB-214_B074,f_5_to_11,564,population
CXB-214,CXB-214_B074,m_5_to_11,623,population
CXB-214,CXB-214_B074,f_12_to_17,339,population
CXB-214,CXB-214_B074,m_12_to_17,378,population
CXB-214,CXB-214_B074,f_18_to_59,1265,population
CXB-214,CXB-214_B074,m_18_to_59,1009,population
CXB-214,CXB-214_B074,f_60_plus,86,population
CXB-214,CXB-214_B074,m_60_plus,100,population
CXB-214,CXB-214_C075,n_family,1075,population
CXB-214,CXB-214_C075,n_individuals,4942,population
CXB-214,CXB-214_C075,f_below_1,76,population
CXB-214,CXB-214_C075,m_below_1,71,population
CXB-214,CXB-214_C075,f_1_to_4,338,population
CXB-214,CXB-214_C075,m_1_to_5,377,population
CXB-214,CXB-214_C075,f_5_to_11,553,population
CXB-214,CXB-214_C075,m_5_to_11,539,population
CXB-214,CXB-214_C075,f_12_to_17,305,population
CXB-214,CXB-214_C075,m_12_to_17,334,population
CXB-214,CXB-214_C075,f_18_to_59,1209,population
CXB-214,CXB-214_C075,m_18_to_59,966,population
CXB-214,CXB-214_C075,f_60_plus,81,population
CXB-214,CXB-214_C075,m_60_plus,93,population
CXB-214,CXB-214_D076,n_family,844,population
CXB-214,CXB-214_D076,n_individuals,4004,population
CXB-214,CXB-214_D076,f_below_1,48,population
CXB-214,CXB-214_D076,m_below_1,72,population
CXB-214,CXB-214_D076,f_1_to_4,253,population
CXB-214,CXB-214_D076,m_1_to_5,264,population
CXB-214,CXB-214_D076,f_5_to_11,416,population
CXB-214,CXB-214_D076,m_5_to_11,460,population
CXB-214,CXB-214_D076,f_12_to_17,263,population
CXB-214,CXB-214_D076,m_12_to_17,280,population
CXB-214,CXB-214_D076,f_18_to_59,995,population
CXB-214,CXB-214_D076,m_18_to_59,808,population
CXB-214,CXB-214_D076,f_60_plus,55,population
CXB-214,CXB-214_D076,m_60_plus,90,population
CXB-214,CXB-214_E077,n_family,1109,population
CXB-214,CXB-214_E077,n_individuals,5143,population
CXB-214,CXB-214_E077,f_below_1,71,population
CXB-214,CXB-214_E077,m_below_1,76,population
CXB-214,CXB-214_E077,f_1_to_4,342,population
CXB-214,CXB-214_E077,m_1_to_5,336,population
CXB-214,CXB-214_E077,f_5_to_11,558,population
CXB-214,CXB-214_E077,m_5_to_11,606,population
CXB-214,CXB-214_E077,f_12_to_17,296,population
CXB-214,CXB-214_E077,m_12_to_17,358,population
CXB-214,CXB-214_E077,f_18_to_59,1288,population
CXB-214,CXB-214_E077,m_18_to_59,1037,population
CXB-214,CXB-214_E077,f_60_plus,76,population
CXB-214,CXB-214_E077,m_60_plus,99,population
CXB-214,CXB-214_F078,n_family,982,population
CXB-214,CXB-214_F078,n_individuals,4582,population
CXB-214,CXB-214_F078,f_below_1,72,population
CXB-214,CXB-214_F078,m_below_1,64,population
CXB-214,CXB-214_F078,f_1_to_4,288,population
CXB-214,CXB-214_F078,m_1_to_5,278,population
CXB-214,CXB-214_F078,f_5_to_11,429,population
CXB-214,CXB-214_F078,m_5_to_11,503,population
CXB-214,CXB-214_F078,f_12_to_17,312,population
CXB-214,CXB-214_F078,m_12_to_17,298,population
CXB-214,CXB-214_F078,f_18_to_59,1169,population
CXB-214,CXB-214_F078,m_18_to_59,990,population
CXB-214,CXB-214_F078,f_60_plus,81,population
CXB-214,CXB-214_F078,m_60_plus,98,population
CXB-217,CXB-217_A079,n_family,1136,population
CXB-217,CXB-217_A079,n_individuals,5638,population
CXB-217,CXB-217_A079,f_below_1,80,population
CXB-217,CXB-217_A079,m_below_1,81,population
