sblock_id,pop_n_family,pop_n_individuals,pop_f_below_1,pop_m_below_1,pop_f_1_to_4,pop_m_1_to_5,pop_f_5_to_11,pop_m_5_to_11,pop_f_12_to_17,pop_m_12_to_17,pop_f_18_to_59,pop_m_18_to_59,pop_f_60_plus,pop_m_60_plus
CXB-017_A146_01,169,819,10,5,49,38,107,105,56,67,200,150,15,16
CXB-017_A146_02,90,437,5,3,26,21,57,56,30,36,107,80,8,9
CXB-017_A146_03,71,343,4,2,21,16,45,44,23,28,84,63,6,7
CXB-017_A146_04,80,387,5,2,23,18,50,50,26,32,94,71,7,8
CXB-017_A146_05,87,420,5,3,25,20,55,54,29,34,103,77,8,8
CXB-017_A146_06,27,130,2,1,8,6,17,17,9,11,32,24,2,3
CXB-017_B147_01,93,454,4,6,23,26,56,57,33,35,115,85,7,8
CXB-017_B147_02,79,385,3,5,19,22,48,48,28,29,97,72,6,7
CXB-017_B147_03,197,964,8,14,48,56,120,120,69,73,244,180,15,16
CXB-017_B147_04,172,842,7,12,42,49,105,105,61,64,213,157,13,14
CXB-017_B147_05,92,450,4,6,22,26,56,56,32,34,114,84,7,8
CXB-017_B147_06,91,446,4,6,22,26,56,56,32,34,113,83,7,8
CXB-017_B147_07,74,362,3,5,18,21,45,45,26,28,91,68,6,6
CXB-025_A148_01,213,904,14,15,58,55,103,93,61,67,226,174,19,19
CXB-025_A148_02,290,1234,19,20,79,75,141,127,84,92,308,238,26,26
CXB-025_A148_03,97,411,6,7,26,25,47,42,28,31,103,79,9,9
CXB-025_B149_01,201,802,14,12,52,53,93,92,47,53,205,150,13,16
CXB-025_B149_02,237,944,17,15,61,63,110,109,56,63,241,177,15,18
CXB-025_B149_03,337,1344,23,21,87,90,156,155,79,90,344,252,22,26
CXB-025_C150_01,553,2294,38,33,128,133,238,269,170,162,569,463,41,50
CXB-025_D151_01,362,1607,18,20,101,111,184,193,112,123,399,291,22,30
CXB-025_D151_02,394,1752,20,22,110,122,201,210,123,134,435,317,24,33
CXB-025_D151_03,266,1183,14,15,75,82,136,142,83,91,294,214,16,22
CXB-025_D151_04,161,714,8,9,45,50,82,86,50,55,177,129,10,14
CXB-025_D151_05,163,725,8,9,46,50,83,87,51,56,180,131,10,14
CXB-025_D151_06,118,524,6,7,33,36,60,63,37,40,130,95,7,10
CXB-025_D151_07,93,413,5,5,26,29,47,50,29,32,103,75,6,8
CXB-025_E152_01,197,858,13,9,55,56,96,100,61,65,219,155,12,16
CXB-025_E152_02,282,1224,18,13,79,79,138,143,86,93,312,222,17,23
CXB-025_E152_03,218,947,14,10,61,61,106,111,67,72,241,172,13,18
CXB-025_E152_04,179,777,12,8,50,50,87,91,55,59,198,141,11,15
CXB-025_E152_05,72,313,5,3,20,20,35,37,22,24,80,57,4,6
CXB-025_E152_06,56,241,4,3,16,16,27,28,17,18,61,44,3,5
CXB-025_E152_07,49,214,3,2,14,14,24,25,15,16,55,39,3,4
CXB-025_F153_01,36,161,4,6,12,10,15,21,10,12,39,29,2,1
CXB-025_F153_02,67,303,8,11,22,20,29,39,19,23,74,54,3,2
CXB-025_F153_03,21,95,2,4,7,6,9,12,6,7,23,17,1,1
CXB-025_F153_04,27,124,3,5,9,8,12,16,8,9,30,22,1,1
CXB-025_F153_05,33,148,4,6,11,10,14,19,9,11,36,26,1,1
CXB-025_F153_06,19,85,2,3,6,5,8,11,5,6,21,15,1,0
CXB-025_F153_07,3,15,0,1,1,1,1,2,1,1,4,3,0,0
CXB-025_G154_01,16,72,3,4,4,4,7,8,4,4,17,15,1,1
CXB-025_G154_02,23,101,4,5,6,6,10,12,5,6,24,21,1,2
CXB-025_G154_03,12,55,2,3,3,3,5,6,3,3,13,11,0,1
CXB-025_G154_04,22,98,4,5,6,6,9,11,5,6,23,20,1,2
CXB-025_G154_05,4,20,1,1,1,1,2,2,1,1,5,4,0,0
CXB-025_G154_06,4,18,1,1,1,1,2,2,1,1,4,4,0,0
CXB-025_G154_07,6,26,1,1,2,2,2,3,1,2,6,5,0,0
CXB-025_H155_01,644,2676,27,27,181,150,299,314,191,189,690,508,44,56
CXB-025_H155_03,240,997,10,10,68,56,111,117,71,71,257,189,16,21
CXB-025_H155_04,24,100,1,1,7,6,11,12,7,7,26,19,2,2
CXB-025_H155_05,36,150,2,2,10,8,17,18,11,11,39,28,2,3
CXB-025_H155_06,28,116,1,1,8,7,13,14,8,8,30,22,2,2
CXB-025_H155_07,140,582,6,6,39,33,65,68,41,41,150,110,10,12
CXB-025_I156_03,124,541,7,8,31,37,61,66,35,39,135,105,8,10
CXB-025_I156_04,223,972,12,14,56,66,109,118,63,70,242,189,14,19
CXB-025_I156_05,246,1070,13,15,62,73,121,130,70,77,266,208,15,21
CXB-025_I156_06,317,1377,17,19,80,93,155,168,90,99,343,267,20,27
CXB-025_I156_07,73,320,4,5,18,22,36,39,21,23,80,62,5,6
CXB-025_I156_08,240,1045,13,15,60,71,118,127,68,75,260,203,15,20
CXB-032_A136_01,126,572,7,6,34,39,69,75,41,41,137,103,11,9
CXB-032_A136_02,86,388,5,4,23,26,47,51,28,28,93,70,7,6
CXB-032_A136_03,84,382,5,4,23,26,46,50,28,27,91,69,7,6
CXB-032_A136_04,164,744,10,8,45,51,90,97,54,53,178,134,14,12
CXB-032_A136_05,185,840,11,9,50,57,101,110,61,60,201,151,16,14
CXB-032_A136_06,132,598,8,7,36,41,72,78,43,42,143,108,11,10
CXB-032_B137_01,55,236,3,2,15,18,30,29,15,16,60,40,3,5
CXB-032_B137_02,68,292,3,2,18,22,37,36,19,19,75,50,4,7
CXB-032_B137_03,113,487,6,4,30,37,62,60,32,32,124,83,7,11
CXB-032_B137_04,205,881,10,7,54,68,112,108,57,58,225,151,12,20
CXB-032_B137_05,176,753,9,6,46,58,96,92,49,49,192,129,10,17
CXB-032_B137_06,266,1143,13,9,71,88,145,140,74,75,292,196,16,26
CXB-037_A157_01,105,491,4,5,28,25,54,58,32,36,125,105,9,10
CXB-037_A157_02,193,905,7,9,51,47,100,108,58,66,231,194,17,18
CXB-037_A157_03,110,517,4,5,29,27,57,62,33,38,132,111,9,10
CXB-037_A157_04,61,286,2,3,16,15,32,34,18,21,73,61,5,6
CXB-037_A157_05,92,430,3,4,24,22,47,51,28,31,110,92,8,9
CXB-037_B158_01,152,677,5,8,41,40,80,79,47,50,172,129,10,16
CXB-037_B158_02,121,539,4,6,33,32,64,63,37,40,137,103,8,13
CXB-037_B158_03,129,576,4,7,35,34,68,68,40,42,146,110,8,14
CXB-037_B158_04,83,369,3,4,22,22,43,43,25,27,94,70,5,9
CXB-037_B158_05,93,415,3,5,25,25,49,49,29,30,105,79,6,10
CXB-037_B158_06,88,392,3,5,24,23,46,46,27,29,100,75,6,9
CXB-037_B158_07,100,447,3,5,27,27,53,52,31,33,114,85,6,11
CXB-037_B158_08,111,493,4,6,30,29,58,58,34,36,125,94,7,12
CXB-037_C159_01,177,810,9,8,47,47,89,96,57,64,204,161,13,16
CXB-037_C159_02,132,601,7,6,35,35,66,72,42,47,151,119,9,12
CXB-037_C159_03,110,501,6,5,29,29,55,60,35,39,126,99,8,10
CXB-037_C159_04,271,1238,14,12,72,72,136,147,86,97,312,245,19,25
CXB-085_A132_01,308,1550,21,20,86,86,189,210,103,118,362,301,25,30
CXB-085_A132_02,131,658,9,8,36,37,80,89,44,50,154,128,11,13
CXB-085_A132_03,169,851,11,11,47,47,104,115,56,65,199,165,14,16
CXB-085_A132_04,163,819,11,10,45,45,100,111,54,62,191,159,13,16
CXB-085_A132_05,349,1757,23,22,97,98,214,238,117,133,410,341,29,34
CXB-085_B133_01,121,600,6,7,35,33,70,74,42,46,145,119,10,13
CXB-085_B133_02,192,953,10,11,55,53,111,118,67,74,230,189,15,21
CXB-085_B133_03,86,428,5,5,25,24,50,53,30,33,103,85,7,9
CXB-085_B133_04,170,843,9,9,49,47,98,104,59,65,203,167,14,18
CXB-085_B133_05,314,1562,17,18,90,87,181,194,110,121,377,309,25,34
CXB-085_B133_06,205,1020,11,11,59,57,118,126,72,79,246,202,16,22
CXB-085_B133_07,241,1196,13,13,69,67,139,148,84,93,289,237,19,26
CXB-085_C134_01,371,1786,25,26,102,108,205,219,126,131,425,354,26,38
CXB-085_C134_02,236,1136,16,17,65,69,130,139,80,84,270,225,17,24
CXB-085_C134_03,67,322,5,5,18,20,37,40,23,24,77,64,5,7
CXB-085_C134_04,72,345,5,5,20,21,40,42,24,25,82,68,5,7
CXB-085_C134_05,262,1261,18,18,72,76,145,155,89,93,300,250,18,27
CXB-085_D135_01,268,1336,18,23,72,80,163,158,94,98,315,265,20,30
CXB-085_D135_02,129,643,9,11,35,38,79,76,45,47,152,128,10,14
CXB-085_D135_03,216,1079,15,18,58,64,132,128,76,79,254,214,16,24
CXB-085_D135_04,204,1016,14,17,55,61,124,120,72,74,240,202,15,22
CXB-089_B169_XX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CXB-089_C170_XX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CXB-089_D171_XX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CXB-089_E172_XX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CXB-089_H173_XX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CXB-089_I174_XX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CXB-089_P168_XX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CXB-108_A127_XX,1156,5179,67,66,323,354,565,590,360,368,1259,1049,78,100
CXB-108_B128_XX,1188,5127,73,72,346,342,562,544,323,332,1258,1105,83,87
CXB-108_C129_XX,557,2074,32,22,152,140,225,233,109,94,539,469,24,35
CXB-201_A001_01,96,470,6,7,28,28,56,54,27,34,114,95,9,12
CXB-201_A001_02,229,1117,15,16,67,66,133,128,65,81,272,226,21,27
CXB-201_A001_03,214,1044,14,15,62,62,124,119,61,76,254,211,20,26
CXB-201_A001_04,151,737,10,11,44,44,88,84,43,54,179,149,14,18
CXB-201_A001_05,324,1579,21,23,94,94,188,180,92,115,384,319,30,39
CXB-201_A001_06,121,591,8,8,35,35,70,67,34,43,144,119,11,15
CXB-201_B002_01,233,1000,13,14,60,64,111,112,66,63,251,209,16,22
CXB-201_B002_02,176,753,10,10,45,48,83,85,50,47,189,157,12,16
CXB-201_B002_03,218,936,13,13,56,60,104,105,62,59,235,195,15,20
CXB-201_B002_04,71,306,4,4,18,20,34,34,20,19,77,64,5,7
CXB-201_B002_05,118,506,7,7,30,32,56,57,33,32,127,106,8,11
CXB-201_B002_06,154,659,9,9,39,42,73,74,43,41,165,138,11,14
CXB-201_B002_07,233,1000,13,14,60,64,111,112,66,63,251,209,16,22
CXB-201_B002_08,173,741,10,10,44,47,82,83,49,47,186,155,12,16
CXB-201_C003_01,197,889,11,14,45,55,97,103,53,72,216,186,17,20
CXB-201_C003_02,121,547,7,9,28,34,60,64,32,44,133,115,10,13
CXB-201_C003_03,167,750,9,12,38,46,82,87,45,60,182,157,14,17
